campaign_id,category,platform,tier,budget,creators,clean_creators,manual_paid_as_paid,manual_paid_clean,proposed_paid_clean,proposed_paid_raw,manual_completion,proposed_completion,manual_first_threshold,proposed_first_threshold,manual_payout_share_of_cpm,proposed_payout_share_of_cpm,sim_p90_proposed,sim_p10_manual,sim_p90_manual,payout_rate_of_media_value,cold_start,n_warnings,manual_over_budget,proposed_over_budget,proposed_over_budget_ungated,proposed_within_sim_p90,manual_in_sim_p10_p90
CA033,finance,instagram,micro,15000,89,85,26050,18450,9350,10600,0.4117647058823529,0.5764705882352941,5000,4000,0.11494617372846325,0.05825185497892311,14505,12850.0,43800.000000000015,0.1,False,1,True,False,False,True,True
CA086,entertainment,instagram,micro,40000,52,51,67350,66750,30150,30400,0.4117647058823529,0.49019607843137253,8925,6000,0.24874757922955104,0.11235564814638148,37605,15145.0,71705.00000000001,0.275,False,0,True,False,False,True,True
CA037,FMCG,instagram,nano,10000,32,31,0,0,400,500,0.0,0.12903225806451613,6500,3000,0.0,0.06448232781203402,8900,2500.0,36955.0,0.15,False,0,False,False,False,True,False
CA061,gaming,youtube,macro,1150000,184,176,760950,690650,535250,595450,0.8125,0.42613636363636365,14850,75000,0.21654829968024658,0.1678237564668819,1105075,666045.0,1378830.0,0.275,False,0,False,False,False,True,True
CA081,finance,youtube,nano,20000,58,56,13150,13150,11350,11350,0.14285714285714285,0.17857142857142858,5850,3000,0.19274614892461572,0.16636264564976339,19950,4900.0,35200.0,0.325,False,1,False,False,False,True,True
